"uid","title","year","format","barcode","imdb_id","runtime","director","watched","poster_url","box_set","genre_ids","hidden","title_da","actors"
"76","Sommer i Tyrol","1964","DVD","5706102328268","tt0058600","100","Erik Balling","true","https://image.tmdb.org/t/p/w300/pIw782vworURUr5j59K0rpUY795.jpg","","Music|Comedy|Family","","Sommer i Tyrol","Dirch Passer|Susse Wold|Ove Sprogøe|Karl Stegger|Jan Priiskorn Schmidt"
"77","Into the Wild","2007","DVD","7332431028920","tt0758758","142","Sean Penn","true","https://image.tmdb.org/t/p/w300/jnLnLYP5pGDfri04gxtAqAvkHMw.jpg","","Adventure|Drama","","Into the Wild","Emile Hirsch|Marcia Gay Harden|William Hurt|Jena Malone|Brian H. Dierker"
"78","Monty Python's Life of Brian","1979","DVD","5035822538535","tt0079470","90","Terry Jones","true","https://image.tmdb.org/t/p/w300/lSSA64WF0M0BXnjwr2quMh6shCl.jpg","","Comedy","","Monty Python's life of Brian - et herrens liv","Graham Chapman|John Cleese|Terry Gilliam|Eric Idle|Terry Jones"
"79","Amelie","2001","DVD","5060021175281","tt0211915","116","Jean-Pierre Jeunet","true","https://image.tmdb.org/t/p/w300/nSxDa3M9aMvGVLoItzWTepQ5h5d.jpg","","Comedy|Romance","","Den fabelagtige Amélie fra Montmartre","Audrey Tautou|Mathieu Kassovitz|Rufus|Serge Merlin|Jamel Debbouze"
"80","Sweeney Todd: The Demon Barber of Fleet Street","2007","Blu-ray","5051895034521","tt0408236","116","Tim Burton","true","https://image.tmdb.org/t/p/w300/gAW4J1bkRjZKmFsJsIiOBASeoAp.jpg","","Drama|Horror","","Sweeney Todd: Den Djævelske Barber fra Fleet Street","Johnny Depp|Helena Bonham Carter|Alan Rickman|Timothy Spall|Sacha Baron Cohen"
"81","Støv På Hjernen","1961","DVD","5706550090274","tt0055487","100","Poul Bang","true","https://image.tmdb.org/t/p/w300/4M7kVH8pLRB6WhuBjfHXNvmrDBD.jpg","","Family|Comedy","","Støv på hjernen","Dirch Passer|Ove Sprogøe|Helle Virkner|Søren Elung Jensen|Bodil Udsen"
"82","8MM: Otte millimeter","1999","DVD","5708758233989","tt0134273","119","Joel Schumacher","true","https://image.tmdb.org/t/p/w300/mhr9xRpjOBqlBjgDwtiOx6FsLvV.jpg","","Thriller|Crime|Mystery","","8MM: Otte millimeter","Nicolas Cage|Joaquin Phoenix|James Gandolfini|Peter Stormare|Anthony Heald"
"83","Bambi","1942","DVD","8717418294489","tt0034492","67","James Algar","true","https://image.tmdb.org/t/p/w300/wV9e2y4myJ4KMFsyFfWYcUOawyK.jpg","","Animation|Drama|Family","","Bambi","Donnie Dunagan|Peter Behn|Stan Alexander|Cammie King|Will Wright"
"84","American Beauty","1999","DVD","7332504000327","tt0169547","117","Sam Mendes","true","https://image.tmdb.org/t/p/w300/wby9315QzVKdW9BonAefg8jGTTb.jpg","","Drama","","American Beauty","Kevin Spacey|Annette Bening|Thora Birch|Wes Bentley|Mena Suvari"
"85","Sex and the City, The Movie","2008","DVD","5706710217022","tt1000774","145","Michael Patrick King","true","https://image.tmdb.org/t/p/w300/AhNfnsGW95RKHQNLdgFH48UN0Zy.jpg","","Comedy|Drama|Romance","","Sex and the City: The Movie","Sarah Jessica Parker|Kim Cattrall|Kristin Davis|Cynthia Nixon|Chris Noth"
"86","Chok","1965","DVD","5709624013049","tt0059646","103","Roman Polanski","true","https://image.tmdb.org/t/p/w300/dtyCKEPLqv9wxyVazL4b843vtUb.jpg","","Drama|Thriller|Horror","","Chok","Catherine Deneuve|Ian Hendry|John Fraser|Yvonne Furneaux|Patrick Wymark"
"87","Inglourious Basterds","2009","DVD","5050582891775","tt0361748","0","Quentin Tarantino","true","https://image.tmdb.org/t/p/w300/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg","","Drama|Thriller|War","","Inglourious Basterds","Brad Pitt|Mélanie Laurent|Christoph Waltz|Eli Roth|Michael Fassbender"
"88","Somewhere","2010","DVD","5706885221329","tt1421051","98","Sofia Coppola","true","https://image.tmdb.org/t/p/w300/zOf1sdfF4eH3CVRCpmRO5ugVGdo.jpg","","Drama","","Somewhere","Stephen Dorff|Elle Fanning|Chris Pontius|Laura Chiatti|Lala Sloatman"
"89","Night Of The Living Dead","1968","DVD","5023965331328","tt0063350","96","George A. Romero","true","https://image.tmdb.org/t/p/w300/rb2NWyb008u1EcKCOyXs2Nmj0ra.jpg","","Horror|Thriller|Sci-Fi","","Night of the Living Dead","Judith O'Dea|Duane Jones|Marilyn Eastman|Karl Hardman|Judith Ridley"
"90","Cassandra's Dream","2007","DVD","5706102389450","tt0795493","104","Woody Allen","true","https://image.tmdb.org/t/p/w300/rZLKa5mXJzfmJsC9DFNkcpZ5vS0.jpg","","Crime|Drama|Thriller","","Cassandra's Dream","Colin Farrell|Ewan McGregor|Hayley Atwell|Sally Hawkins|Tom Wilkinson"
