134,"Disc Title","Persepolis",5704897021166,"DVD",2007,tt0808417,92,"Mariane Satrapi","Chiara Mastroianni,Catherine Deneuve,Danielle Darrieux,Simon Abkarian,Gabrielle Lopes Benites,François Jerosme,Sophie Arthuys,Arié Elmaleh,Mathias Mlekuz,Amethyste Frezignac,Mariane Satrapi",
193,"Disc Title","Deer Hunter",5709624005365,"DVD",1978,tt0077416,176,"Michael Cimino(VII)","Robert de Niro,John Cazale,John Savage,Christopher Walken,Meryl Streep,George Dzundza,Chuck Aspegren,Shirley Stoler,Rutanya Alda,Pierre Segui,Michael Cimino(VII),Michael Cimino(VII),Deric Washburn,Louis Garfinkle,Quinn K. Redeker,Michael Cimino(VII),Michael Deeley,John Peverall,Vilmos Zsigmond,Peter Zinner,Stanley Myers",
153,"Disc Title","Busters verden",5709624003156,"DVD",1984,tt0087013,91,"Bille August","Mads Bugge Andersen,Katarina Stenbeck,Peter Schrøder,Katja Miehe-Renard,Signe Dahl Madsen,Jannie Faurschou,Berthe Qvistgaard,Buster Larsen,Lillian Tillegreen,Ole Thestrup,Bille August,Bjarne Reuter,Bjarne Reuter",
166,"Disc Title","Little Miss Sunshine",5707020334140,"DVD",2006,tt0449059,98,"Jonathan Dayton","Abigail Breslin,Greg Kinnear,Paul Dano,Alan Arkin,Toni Collette,Steve Carell,Marc Turtletaub,Jill Talley,Brenda Canela,Julio Oscar Mechoso,Jonathan Dayton,Valerie Faris,Michael Arndt",
197,"Disc Title","Juno",5707019362802,"DVD",2007,tt0467406,92,"Jason Reitman","Ellen Page,Michael Cera,Jennifer Garner,Jason Bateman,Allison Janney,J.K. Simmons,Olivia Thirlby,Eileen Pedde,Rainn Wilson,Daniel Clark,Jason Reitman,Diablo Cody",
173,"Disc Title","25th Hour",7393834334100,"DVD",2002,tt0307901,129,"Spike Lee","Edward Norton,Philip Seymour Hoffman,Barry Pepper,Rosario Dawson,Anna Paquin,Brian Cox,Tony Siragusa,Levan Uchaneishvili,Tony Devon,Misha Kuznetsov,Spike Lee",
257,"Disc Title","Manderlay",5705410661999,"DVD",2005,tt0342735,0,"Lars Von Trier","Bryce Dallas Howard,Isaach De Bankolé,Danny Glover,Willem Dafoe,Michaël Abiteboul,Lauren Bacall,Jean-Marc Barr,Geoffrey Bateman,Virgile Bramly,Ruben Brinkman,Lars Von Trier,Lars Von Trier,Anthony Dod Mantle,Molly Marlene Stensgård,Joachim Holbek",
56,"Disc Title","The Royal Tenenbaums",786936165425,"DVD",2001,tt0265666,110,"Wes Anderson","Anjelica Huston,Gwyneth Paltrow,Ben Stiller,Luke Wilson,Owen Wilson,Danny Glover,Bill Murray,Alec Baldwin,Seymour Cassel ,Kumar Pallana,Wes Anderson,Wes Anderson,Owen Wilson,Wes Anderson,Owen Wilson,Barry Mendel ,Rudd Simmons,Will Sweeney ,Robert D. Yeoman,Scott Rudin,Mark Mothersbaugh",
51,"Disc Title","Stalingrad",5706102325724,"DVD",1993,tt0000000,132,"Joseph Vilsmaier","Dominique Horwitz,Thomas Kretschmann,Jochen Nickel,Sebastian Rudolph,Dana Vávrová,Martin Benrath,Sylvester Groth,Karel Hermánek,Heinz Emigholz,Ferdinand Schuster,Joseph Vilsmaier",
94,"Disc Title","Snuff Movie",5703976143447,"DVD",1996,tt0117883,119,"Alejandro Amenábar","Ana Torrent,Fele Martínez,Eduardo Noriega,Xabier Elorriaga,Miguel Picazo,Nieves Herranz,Rosa Campillo,Paco Hernández,Rosa Ávila,Teresa Castanedo,Alejandro Amenábar,Alejandro Amenábar,Alejandro Amenábar",
180,"Disc Title","Y Tu Mama Tambien",7321900937788,"DVD",2001,tt0245574,101,"Alfonso Cuarón","Ana López Mercado,Diego Luna,Gael García Bernal,Nathan Grinberg,Verónica Langer,María Aura,Giselle Audirac,Arturo Ríos,Andrés Almeida,Diana Bracho,Alfonso Cuarón",
87,"Disc Title","Audition",5023965334022,"DVD",2002,tt0235198,111,"Takashi Miike","Ryo Ishibashi,Eihi Shiina,Tetsu Sawaki,Jun Kunimura,Renji Ishibashi,Miyuki Matsuda,Toshie Negishi,Ren Osugi,Shigeru Saiki,Ken Mitsuishi,Takashi Miike",
